region_name,longitude,latitude,time_period,mmm,prob_dhw_4,prob_dhw_8,no_dhw_days_4,no_dhw_days_8,seas_sst_var,int_sst_var,trend_ann_sst,p_value
Polynesia,-128.35,-24.34,1985-2019,26.9315630488612,0,0,0,0,1.615,0.244,-0,0.991
Polynesia,-128.34,-24.34,1985-2019,26.9317082013287,0,0,0,0,1.614,0.244,-0,0.991
Polynesia,-128.33,-24.34,1985-2019,26.931754073422,0,0,0,0,1.614,0.243,-0,0.992
Polynesia,-128.32,-24.34,1985-2019,26.9337713770742,0,0,0,0,1.614,0.243,-0,0.992
Polynesia,-128.31,-24.34,1985-2019,26.9343191218753,0,0,0,0,1.614,0.243,-0,0.996
Polynesia,-128.3,-24.34,1985-2019,26.9362013018398,0,0,0,0,1.615,0.243,-0,0.997
Polynesia,-128.34,-24.33,1985-2019,26.9392559336035,0,0,0,0,1.614,0.244,-0,0.995
Polynesia,-128.33,-24.33,1985-2019,26.9393211495401,0,0,0,0,1.614,0.244,-0,0.996
Polynesia,-128.32,-24.33,1985-2019,26.9413743347759,0,0,0,0,1.614,0.243,-0,0.997
Polynesia,-128.31,-24.33,1985-2019,26.9421260985125,0,0,0,0,1.614,0.243,-0,0.999
Polynesia,-128.3,-24.33,1985-2019,26.9428911764792,0,0,0,0,1.614,0.243,0,1
Polynesia,-128.3,-24.32,1985-2019,26.951611512785,0,0,0,0,1.614,0.243,0,0.995
Polynesia,-147.62,-23.95,1985-2019,26.757764542331,0.11,0.06,293,93,1.497,0.315,0.007,0.201
Polynesia,-147.61,-23.95,1985-2019,26.7604822618103,0.11,0.06,292,94,1.498,0.315,0.007,0.203
Polynesia,-147.6,-23.95,1985-2019,26.7643700181383,0.11,0.06,291,93,1.499,0.315,0.007,0.206
Polynesia,-130.75,-23.95,1985-2019,26.9181052746712,0.06,0,119,0,1.528,0.256,-0,0.958
Polynesia,-130.74,-23.95,1985-2019,26.9135892942672,0.06,0,120,0,1.527,0.256,-0,0.955
Polynesia,-130.73,-23.95,1985-2019,26.9118851734804,0.06,0,121,0,1.527,0.256,-0,0.952
Polynesia,-147.63,-23.94,1985-2019,26.75143120849,0.11,0.06,293,94,1.495,0.316,0.007,0.199
Polynesia,-147.62,-23.94,1985-2019,26.7527294048493,0.11,0.06,290,92,1.496,0.316,0.007,0.202
Polynesia,-147.61,-23.94,1985-2019,26.7565537800157,0.11,0.06,290,93,1.498,0.316,0.007,0.205
Polynesia,-147.6,-23.94,1985-2019,26.7612001490933,0.11,0.06,290,92,1.499,0.316,0.007,0.208
Polynesia,-130.76,-23.94,1985-2019,26.924645365823,0.03,0,76,0,1.527,0.256,-0,0.959
Polynesia,-130.75,-23.94,1985-2019,26.9182479630286,0.06,0,109,0,1.526,0.256,-0,0.958
Polynesia,-130.74,-23.94,1985-2019,26.9127871163688,0.03,0,76,0,1.526,0.256,-0,0.955
Polynesia,-130.73,-23.94,1985-2019,26.9121449988593,0.03,0,76,0,1.526,0.256,-0,0.952
Polynesia,-130.72,-23.94,1985-2019,26.9144351575953,0.06,0,109,0,1.527,0.256,-0,0.947
Polynesia,-147.65,-23.93,1985-2019,26.7542009695552,0.11,0.06,294,92,1.494,0.315,0.007,0.197
Polynesia,-147.64,-23.93,1985-2019,26.7507131917298,0.11,0.06,296,94,1.494,0.315,0.007,0.198
Polynesia,-147.63,-23.93,1985-2019,26.7495639403296,0.11,0.06,293,91,1.495,0.316,0.007,0.2
Polynesia,-147.62,-23.93,1985-2019,26.7498351148286,0.11,0.06,294,92,1.496,0.316,0.007,0.202
Polynesia,-147.61,-23.93,1985-2019,26.7534292300819,0.11,0.06,293,91,1.497,0.316,0.007,0.205
Polynesia,-147.6,-23.93,1985-2019,26.7579216231483,0.11,0.06,288,91,1.498,0.316,0.007,0.208
Polynesia,-130.76,-23.93,1985-2019,26.9288305838816,0.03,0,75,0,1.526,0.256,-0,0.958
Polynesia,-130.75,-23.93,1985-2019,26.9225467598542,0.06,0,108,0,1.526,0.256,-0,0.956
Polynesia,-130.74,-23.93,1985-2019,26.9171327956879,0.03,0,75,0,1.525,0.256,-0,0.955
Polynesia,-130.73,-23.93,1985-2019,26.9163599187071,0.03,0,75,0,1.526,0.256,-0,0.951
Polynesia,-130.72,-23.93,1985-2019,26.9196183535834,0.06,0,108,0,1.527,0.256,-0,0.946
Polynesia,-130.71,-23.93,1985-2019,26.9249270114569,0.06,0,140,0,1.527,0.257,-0.001,0.94
Polynesia,-147.66,-23.92,1985-2019,26.7571768834384,0.11,0.06,295,91,1.494,0.314,0.007,0.195
Polynesia,-147.65,-23.92,1985-2019,26.7546098723793,0.11,0.06,299,92,1.495,0.315,0.007,0.197
Polynesia,-147.64,-23.92,1985-2019,26.7521244602874,0.11,0.06,300,92,1.496,0.316,0.007,0.198
Polynesia,-147.63,-23.92,1985-2019,26.7498677950491,0.11,0.06,295,92,1.496,0.316,0.007,0.2
Polynesia,-147.62,-23.92,1985-2019,26.7490736109504,0.11,0.06,300,92,1.497,0.316,0.007,0.202
Polynesia,-147.61,-23.92,1985-2019,26.751624429177,0.11,0.06,291,91,1.497,0.316,0.007,0.205
Polynesia,-130.76,-23.92,1985-2019,26.936938107638,0.03,0,76,0,1.526,0.256,-0,0.956
Polynesia,-130.75,-23.92,1985-2019,26.9326404910052,0.06,0,108,0,1.526,0.256,-0,0.954
Polynesia,-130.74,-23.92,1985-2019,26.9281527543617,0.03,0,75,0,1.526,0.256,-0,0.953
Polynesia,-130.73,-23.92,1985-2019,26.9272825837933,0.03,0,75,0,1.526,0.256,-0,0.95
Polynesia,-130.72,-23.92,1985-2019,26.9291389671277,0.06,0,108,0,1.527,0.256,-0,0.947
Polynesia,-130.71,-23.92,1985-2019,26.9334616571783,0.06,0,138,0,1.527,0.257,-0.001,0.941
Polynesia,-147.71,-23.91,1985-2019,26.7951164006718,0.11,0.06,317,87,1.492,0.313,0.007,0.189
Polynesia,-147.7,-23.91,1985-2019,26.7817517185082,0.14,0.06,333,88,1.492,0.313,0.007,0.19
Polynesia,-147.69,-23.91,1985-2019,26.7704195191738,0.09,0.06,259,89,1.492,0.313,0.007,0.19
Polynesia,-147.68,-23.91,1985-2019,26.761182656946,0.09,0.06,259,88,1.492,0.314,0.007,0.191
Polynesia,-147.67,-23.91,1985-2019,26.7585310514169,0.11,0.06,291,90,1.494,0.314,0.007,0.193
Polynesia,-147.66,-23.91,1985-2019,26.7580223552262,0.11,0.06,294,91,1.495,0.314,0.007,0.194
Polynesia,-147.65,-23.91,1985-2019,26.7585626655728,0.11,0.06,298,90,1.496,0.315,0.007,0.196
Polynesia,-147.64,-23.91,1985-2019,26.7570136347979,0.11,0.06,298,89,1.497,0.315,0.007,0.198
Polynesia,-147.63,-23.91,1985-2019,26.7548196809453,0.11,0.06,297,91,1.498,0.316,0.007,0.2
Polynesia,-147.62,-23.91,1985-2019,26.7519228555273,0.11,0.06,295,91,1.498,0.316,0.007,0.202
Polynesia,-147.61,-23.91,1985-2019,26.7523677672881,0.11,0.06,303,93,1.498,0.316,0.007,0.204
Polynesia,-130.76,-23.91,1985-2019,26.9481642540327,0.06,0,108,0,1.527,0.256,-0,0.955
Polynesia,-130.75,-23.91,1985-2019,26.9433641957219,0.03,0,75,0,1.527,0.256,-0,0.953
Polynesia,-130.74,-23.91,1985-2019,26.9407268758719,0.03,0,75,0,1.527,0.256,-0,0.95
Polynesia,-130.73,-23.91,1985-2019,26.9406041721883,0.03,0,75,0,1.527,0.256,-0,0.949
Polynesia,-130.72,-23.91,1985-2019,26.942669361486,0.06,0,109,0,1.527,0.256,-0,0.946
Polynesia,-147.72,-23.9,1985-2019,26.8128065955206,0.14,0.06,358,84,1.492,0.313,0.007,0.188
Polynesia,-147.71,-23.9,1985-2019,26.799500277746,0.11,0.06,316,85,1.492,0.313,0.007,0.189
Polynesia,-147.7,-23.9,1985-2019,26.7862307471158,0.14,0.06,333,89,1.492,0.313,0.007,0.189
Polynesia,-147.69,-23.9,1985-2019,26.7752202685594,0.09,0.06,258,90,1.493,0.313,0.007,0.189
Polynesia,-147.68,-23.9,1985-2019,26.7682738131062,0.11,0.06,282,90,1.493,0.314,0.007,0.19
