"site","quadrat","ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","dia","comparison"
"HAA","09","26","Pocillopora","30  ",74.05,"Pocillopora","14",217.92,"survived",1.94287643484132,9.70996335150853,"2016_2018"
"HAA","09","27","Pocillopora","31  ",1.15,NA,NA,0,"died",NA,1.21005184865998,"2016_2018"
"HAA","09","28","Pocillopora","32  ",1.61,NA,NA,0,"died",NA,1.43175265567193,"2016_2018"
"HAA","09","29","Pocillopora","33  ",65.79,"Pocillopora","23",97.1,"survived",0.475908192734458,9.1524002124102,"2016_2018"
"HAA","09","30","Pocillopora","34  ",2.3,NA,NA,0,"died",NA,1.71127173554958,"2016_2018"
"HAA","09","31","Pocillopora","35  ",1.81,NA,NA,0,"died",NA,1.51807890966532,"2016_2018"
"HAA","09","32","Pocillopora","36  ",231.39,"Pocillopora","0",380.77,"survived",0.645576731924457,17.1643496310309,"2016_2018"
"HAA","10","0","Pocillopora","0  ",110.07,"Pocillopora","1",146.14,"survived",0.327700554192786,11.8383054821625,"2016_2018"
"HAA","10","1","Pocillopora","1  ",129.4,"Pocillopora","2",142.94,"survived",0.104636785162287,12.835778008704,"2016_2018"
"HAA","10","2","Acropora","2  ",136.95,"Acropora","0",367.88,"survived",1.68623585250091,13.2049292179656,"2016_2018"
"HAA","10","3","Pocillopora","3  ",21.05,"Pocillopora","3",63.05,"survived",1.99524940617577,5.17703509903837,"2016_2018"
"HAA","10","4","Pocillopora","4  ",23.66,"Pocillopora","5",65.9,"survived",1.78529163144548,5.48861071933818,"2016_2018"
"HAA","10","5","Pocillopora","5  ",202.23,"Pocillopora","4",267.37,"survived",0.32210849033279,16.046408730049,"2016_2018"
"HAA","10","6","Pocillopora","6  ",129.22,"Pocillopora","6",61.43,"survived",-0.524609193623278,12.8268473901687,"2016_2018"
"HAA","10","7","Pocillopora","7  ",63.6,"Pocillopora","7",131.92,"survived",1.07421383647799,8.99877964199348,"2016_2018"
"HAA","10","8","Pocillopora","8  ",193.98,"Pocillopora","9",118.65,"survived",-0.388339004021033,15.7156930132822,"2016_2018"
"HAA","10","9","Pocillopora","9  ",10.04,NA,NA,0,"died",NA,3.5753776065111,"2016_2018"
"HAA","10","10","Acropora","10  ",10.2,"Acropora","11",26.07,"survived",1.55588235294118,3.60375406434716,"2016_2018"
"HAA","10","11","Acropora","11  ",115.86,"Acropora","12",281.18,"survived",1.42689452787847,12.1456796291116,"2016_2018"
"HAA","10","12","Pocillopora","12  ",13.86,NA,NA,0,"died",NA,4.20084516377709,"2016_2018"
"HAA","10","13","Pocillopora","13  ",10.1,NA,NA,0,"died",NA,3.58604509199552,"2016_2018"
"HAA","10","14","Pocillopora","14  ",71.35,"Pocillopora","14",47.04,"survived",-0.340714786264891,9.5312979974846,"2016_2018"
"HAA","10","15","Pocillopora","15  ",16.17,NA,NA,0,"died",NA,4.5374313701,"2016_2018"
"HAA","10","16","Pocillopora","16  ",228.61,"Pocillopora","10",442.32,"survived",0.934823498534622,17.0609288235402,"2016_2018"
"HAA","10","17","Pocillopora","17  ",20.57,"Pocillopora","15",68.31,"survived",2.32085561497326,5.11766914084941,"2016_2018"
"HAA","10","18","Pocillopora","18  ",84.89,"Pocillopora","18",109.13,"survived",0.285546000706797,10.3964082717335,"2016_2018"
"HAA","10","19","Pocillopora","19  ",12.39,"Pocillopora","17",27.42,"survived",1.21307506053269,3.97183055520608,"2016_2018"
"HAA","10","20","Pocillopora","20  ",22.81,NA,NA,0,"died",NA,5.38911811110214,"2016_2018"
