"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"HAA_08_28","Pocillopora","30",2.9,"Pocillopora","7  ",37.69,"grew",11.9965517241379,"2016_2018","HAA"
"HAA_08_29","Pocillopora","31",4.31,"Pocillopora","24  ",41.65,"grew",8.66357308584687,"2016_2018","HAA"
"HAA_08_30","Pocillopora",NA,19,"Pocillopora","0  ",19,"born",NA,"2016_2018","HAA"
"HAA_08_31","Pocillopora",NA,7.22,"Pocillopora","1  ",7.22,"born",NA,"2016_2018","HAA"
"HAA_08_32","Acropora",NA,16.09,"Acropora","3  ",16.09,"born",NA,"2016_2018","HAA"
"HAA_08_33","Pocillopora",NA,19.16,"Pocillopora","9  ",19.16,"born",NA,"2016_2018","HAA"
"HAA_08_34","Pocillopora",NA,3.38,"Pocillopora","12  ",3.38,"born",NA,"2016_2018","HAA"
"HAA_08_35","Pocillopora",NA,17.15,"Pocillopora","15  ",17.15,"born",NA,"2016_2018","HAA"
"HAA_08_36","Pocillopora",NA,16.04,"Pocillopora","16  ",16.04,"born",NA,"2016_2018","HAA"
"HAA_09_0","Pocillopora","0  ",32.64,"Pocillopora","1",53.83,"grew",0.649203431372549,"2016_2018","HAA"
"HAA_09_1","Pocillopora","2  4  ",465.55,"Pocillopora","7",1060.05,"grew",1.2769842122221,"2016_2018","HAA"
"HAA_09_2","Pocillopora","3  5  ",220.51,"Pocillopora","5",651.7,"grew",1.95542152283343,"2016_2018","HAA"
"HAA_09_3","Pocillopora","6  ",9.64,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_09_4","Pocillopora","7  ",21.78,"Pocillopora","13",88.02,"grew",3.04132231404959,"2016_2018","HAA"
"HAA_09_5","Pocillopora","8  ",4.65,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_09_6","Pocillopora","9  ",31.11,"Pocillopora","19",89.18,"grew",1.86660237865638,"2016_2018","HAA"
"HAA_09_7","Acropora","10  ",6.32,"Acropora","11",50.52,"grew",6.99367088607595,"2016_2018","HAA"
"HAA_09_8","Pocillopora","11  ",6.71,NA,NA,0,"died",NA,"2016_2018","HAA"
