"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"E2B_14_16","Pocillopora","18  ",143.31,"Pocillopora","25  ",225.09,"grew",0.570651036215198,"2016_2018","E2B"
"E2B_14_17","Pocillopora","19  ",11.86,"Pocillopora","18  ",25.19,"grew",1.12394603709949,"2016_2018","E2B"
"E2B_14_18","Pocillopora","20  ",77.51,"Pocillopora","17  ",123.81,"grew",0.597342278415688,"2016_2018","E2B"
"E2B_14_19","Pocillopora","21  ",10.04,"Pocillopora","21  ",36.31,"grew",2.61653386454183,"2016_2018","E2B"
"E2B_14_20","Pocillopora","22  ",45.15,"Pocillopora","19  ",139.96,"grew",2.09988925802879,"2016_2018","E2B"
"E2B_14_21","Pocillopora","23  ",57.01,"Pocillopora","23  ",90.3,"grew",0.583932643395895,"2016_2018","E2B"
"E2B_14_22","Pocillopora","24  ",43.64,"Pocillopora","22  ",82.49,"grew",0.890238313473877,"2016_2018","E2B"
"E2B_14_23","Pocillopora","28  29  30  ",96.92,"Pocillopora","29  ",102.37,"grew",0.056231943871234,"2016_2018","E2B"
"E2B_14_24","Pocillopora","31  ",168.47,"Pocillopora","31  ",223.07,"grew",0.32409331038167,"2016_2018","E2B"
"E2B_14_25","Pocillopora","32  ",13.62,"Pocillopora","26  ",77.49,"grew",4.68942731277533,"2016_2018","E2B"
"E2B_14_26","Pocillopora","33  34  ",35.11,"Pocillopora","27  ",64.99,"grew",0.851039589860438,"2016_2018","E2B"
"E2B_14_27","Pocillopora","35  36  ",42.65,"Pocillopora","34  ",117.79,"grew",1.76178194607269,"2016_2018","E2B"
"E2B_14_28","Pocillopora","37  ",85.63,"Pocillopora","24  ",189.9,"grew",1.21768071937405,"2016_2018","E2B"
"E2B_14_29","Pocillopora","43  ",11.66,"Pocillopora","35  ",48.24,"grew",3.13722126929674,"2016_2018","E2B"
"E2B_14_30","Pocillopora","44  ",2.44,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_14_31","Pocillopora","45  47  ",147.96,"Pocillopora","33  ",244.62,"grew",0.653284671532847,"2016_2018","E2B"
"E2B_14_33","Pocillopora","",7.99,"Pocillopora","0  ",7.99,"born",NA,"2016_2018","E2B"
"E2B_14_34","Pocillopora","",185.07,"Pocillopora","5  ",185.07,"born",NA,"2016_2018","E2B"
"E2B_14_36","Pocillopora","",26.17,"Pocillopora","15  ",26.17,"born",NA,"2016_2018","E2B"
"E2B_14_37","Pocillopora","",8.54,"Pocillopora","20  ",8.54,"born",NA,"2016_2018","E2B"
"E2B_14_38","Pocillopora","",18.62,"Pocillopora","28  ",18.62,"born",NA,"2016_2018","E2B"
"E2B_14_39","Pocillopora","",7.75,"Pocillopora","30  ",7.75,"born",NA,"2016_2018","E2B"
"E2B_14_40","Pocillopora","",6.52,"Pocillopora","32  ",6.52,"born",NA,"2016_2018","E2B"
"E2B_15_0","Pocillopora","0  ",29.63,"Pocillopora","24  ",32.1,"grew",0.0833614579817753,"2016_2018","E2B"
"E2B_15_1","Pocillopora","1  ",191.45,"Pocillopora","23  ",358.84,"grew",0.874327500652912,"2016_2018","E2B"
